NAME,GEO_ID,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,block group,Pop_65_Plus,Pop_75_Plus
"Block Group 5, Census Tract 4615, Fairfax County, Virginia",510594615005,503,24,0,20,0,19,0,25,66,17,59,37,21,13,15,88,0,2,1,0,27,20,34,15,615,63,81,0,34,76,0,28,0,18,45,41,0,35,32,76,14,6,15,0,43,0,8,0,51,59,461500,5,163,77
"Block Group 2, Census Tract 4616.03, Fairfax County, Virginia",510594616032,880,20,21,42,13,0,0,23,139,191,86,79,93,22,9,21,0,40,0,0,14,0,0,67,803,14,25,49,0,0,15,0,108,99,49,41,129,87,137,11,0,0,0,19,0,9,11,0,51,59,461603,2,120,87
"Block Group 2, Census Tract 4616.04, Fairfax County, Virginia",510594616042,404,38,15,16,9,0,0,0,111,0,32,34,30,27,64,0,0,15,0,0,13,0,0,0,441,54,16,10,0,46,0,0,32,53,49,46,18,10,0,15,0,43,0,17,15,0,17,0,51,59,461604,2,62,17
"Block Group 3, Census Tract 4616.05, Fairfax County, Virginia",510594616053,580,0,83,0,0,0,0,0,13,97,100,121,95,0,20,0,0,11,0,0,27,0,0,13,391,0,0,0,58,0,0,0,0,105,158,15,55,0,0,0,0,0,0,0,0,0,0,0,51,59,461605,3,40,13
"Block Group 1, Census Tract 4617, Fairfax County, Virginia",510594617001,1050,139,21,3,0,7,14,6,72,139,235,80,30,78,65,27,19,12,0,59,41,0,3,0,1044,93,28,52,12,15,0,18,0,188,182,21,73,43,126,35,0,57,37,15,29,20,0,0,51,59,461700,1,204,23
"Block Group 4, Census Tract 4617, Fairfax County, Virginia",510594617004,455,0,0,20,0,0,0,12,13,58,96,22,44,87,14,31,12,9,37,0,0,0,0,0,755,26,128,12,13,0,0,0,64,17,119,189,21,41,0,49,0,25,0,35,0,16,0,0,51,59,461700,4,88,16
"Block Group 2, Census Tract 4618.02, Fairfax County, Virginia",510594618022,1020,42,38,155,119,0,0,0,112,66,25,176,0,54,89,10,16,17,0,46,30,12,13,0,1065,262,0,0,19,0,0,1,21,19,131,160,52,129,44,19,0,86,26,37,15,27,0,17,51,59,461802,2,223,69
"Block Group 2, Census Tract 4619.01, Fairfax County, Virginia",510594619012,1058,73,66,104,72,20,0,0,0,59,126,100,28,97,51,64,18,14,25,33,74,0,15,19,1016,29,107,38,13,13,0,21,34,104,137,65,94,67,36,28,23,31,54,21,9,53,0,39,51,59,461901,2,342,126
"Block Group 2, Census Tract 4701, Fairfax County, Virginia",510594701002,916,44,47,117,79,0,0,0,43,18,0,27,44,54,73,102,45,64,10,34,77,25,13,0,887,50,77,43,34,24,0,0,6,22,23,20,36,90,83,57,47,77,11,35,45,23,0,84,51,59,470100,2,357,145
"Block Group 1, Census Tract 4704, Fairfax County, Virginia",510594704001,503,9,9,40,11,31,9,0,32,0,16,0,28,23,66,57,47,18,0,15,43,21,10,18,610,18,25,63,50,0,0,0,22,17,15,8,15,27,62,48,60,23,10,30,70,10,37,0,51,59,470400,1,264,96
