NAME,GEO_ID,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,C17002_008E,state,county,tract,block group
"Block Group 1, Census Tract 710, Augusta County, Virginia",510150710001,45,39,41,21,61,0,587,51,15,71000,1
"Block Group 4, Census Tract 710, Augusta County, Virginia",510150710004,0,61,39,78,10,122,692,51,15,71000,4
"Block Group 3, Census Tract 711.01, Augusta County, Virginia",510150711013,0,8,0,13,80,13,640,51,15,71101,3
"Block Group 2, Census Tract 711.02, Augusta County, Virginia",510150711022,0,51,0,52,190,18,864,51,15,71102,2
"Block Group 1, Census Tract 712.01, Augusta County, Virginia",510150712011,0,0,14,86,18,197,973,51,15,71201,1
"Block Group 2, Census Tract 712.02, Augusta County, Virginia",510150712022,14,0,96,45,189,86,536,51,15,71202,2
"Block Group 2, Census Tract 9201.01, Bath County, Virginia",510179201012,17,128,68,16,153,22,734,51,17,920101,2
"Block Group 3, Census Tract 9201.02, Bath County, Virginia",510179201023,0,11,0,0,0,0,651,51,17,920102,3
"Block Group 1, Census Tract 302.04, Bedford County, Virginia",510190302041,75,57,0,0,26,0,988,51,19,30204,1
"Block Group 2, Census Tract 303, Bedford County, Virginia",510190303002,4,113,99,127,111,45,1495,51,19,30300,2
"Block Group 3, Census Tract 304.01, Bedford County, Virginia",510190304013,2,53,1,0,1,27,628,51,19,30401,3
"Block Group 3, Census Tract 304.03, Bedford County, Virginia",510190304033,44,0,13,0,170,37,724,51,19,30403,3
"Block Group 3, Census Tract 304.04, Bedford County, Virginia",510190304043,11,69,0,20,125,0,493,51,19,30404,3
"Block Group 3, Census Tract 305.01, Bedford County, Virginia",510190305013,15,29,74,79,206,0,1100,51,19,30501,3
"Block Group 3, Census Tract 305.03, Bedford County, Virginia",510190305033,51,10,10,0,0,173,769,51,19,30503,3
"Block Group 3, Census Tract 305.04, Bedford County, Virginia",510190305043,19,0,0,0,28,6,995,51,19,30504,3
"Block Group 3, Census Tract 306.01, Bedford County, Virginia",510190306013,63,29,0,0,34,0,599,51,19,30601,3
"Block Group 3, Census Tract 306.02, Bedford County, Virginia",510190306023,0,33,0,29,0,37,402,51,19,30602,3
"Block Group 1, Census Tract 306.04, Bedford County, Virginia",510190306041,128,17,187,35,108,48,845,51,19,30604,1
"Block Group 1, Census Tract 306.05, Bedford County, Virginia",510190306051,130,27,3,0,166,161,1774,51,19,30605,1
"Block Group 1, Census Tract 501.01, Bedford County, Virginia",510190501011,0,179,105,227,19,40,754,51,19,50101,1
"Block Group 2, Census Tract 501.02, Bedford County, Virginia",510190501022,1,89,0,84,131,0,1167,51,19,50102,2
"Block Group 3, Census Tract 401, Bland County, Virginia",510210401003,41,81,6,0,84,0,631,51,21,40100,3
"Block Group 3, Census Tract 1101.05, Orange County, Virginia",511371101053,0,95,0,0,158,15,604,51,137,110105,3
"Block Group 1, Census Tract 1101.07, Orange County, Virginia",511371101071,0,0,0,0,0,0,1115,51,137,110107,1
"Block Group 1, Census Tract 1101.08, Orange County, Virginia",511371101081,0,0,0,0,158,0,2454,51,137,110108,1
"Block Group 1, Census Tract 1102, Orange County, Virginia",511371102001,95,0,119,104,20,48,1358,51,137,110200,1
"Block Group 2, Census Tract 1103.01, Orange County, Virginia",511371103012,356,260,135,114,137,131,1375,51,137,110301,2
"Block Group 1, Census Tract 301, Page County, Virginia",511390301001,29,171,159,0,88,13,521,51,139,30100,1
"Block Group 1, Census Tract 302, Page County, Virginia",511390302001,21,127,0,53,34,14,900,51,139,30200,1
"Block Group 3, Census Tract 302, Page County, Virginia",511390302003,10,53,5,56,6,0,662,51,139,30200,3
"Block Group 2, Census Tract 303, Page County, Virginia",511390303002,26,70,0,64,139,0,1008,51,139,30300,2
"Block Group 1, Census Tract 304.01, Page County, Virginia",511390304011,42,52,51,135,19,14,642,51,139,30401,1
"Block Group 2, Census Tract 304.02, Page County, Virginia",511390304022,78,199,55,11,114,56,1014,51,139,30402,2
"Block Group 2, Census Tract 305, Page County, Virginia",511390305002,0,0,0,50,281,45,439,51,139,30500,2
"Block Group 5, Census Tract 305, Page County, Virginia",511390305005,11,281,3,17,212,105,690,51,139,30500,5
"Block Group 2, Census Tract 301.01, Patrick County, Virginia",511410301012,138,70,0,87,14,0,1207,51,141,30101,2
"Block Group 1, Census Tract 102, Pittsylvania County, Virginia",511430102001,0,78,67,160,52,0,433,51,143,10200,1
"Block Group 3, Census Tract 102, Pittsylvania County, Virginia",511430102003,63,130,67,138,60,79,1030,51,143,10200,3
"Block Group 2, Census Tract 103.02, Pittsylvania County, Virginia",511430103022,0,205,0,20,0,41,547,51,143,10302,2
"Block Group 2, Census Tract 104, Pittsylvania County, Virginia",511430104002,25,80,47,0,9,12,845,51,143,10400,2
"Block Group 1, Census Tract 105, Pittsylvania County, Virginia",511430105001,59,0,0,0,10,0,545,51,143,10500,1
"Block Group 1, Census Tract 106, Pittsylvania County, Virginia",511430106001,125,298,139,63,48,36,485,51,143,10600,1
"Block Group 1, Census Tract 107, Pittsylvania County, Virginia",511430107001,41,28,302,19,19,31,316,51,143,10700,1
"Block Group 2, Census Tract 108.01, Pittsylvania County, Virginia",511430108012,24,54,0,4,275,60,569,51,143,10801,2
"Block Group 3, Census Tract 108.03, Pittsylvania County, Virginia",511430108033,4,410,330,25,59,0,1020,51,143,10803,3
"Block Group 1, Census Tract 109, Pittsylvania County, Virginia",511430109001,0,64,15,59,170,0,863,51,143,10900,1
"Block Group 2, Census Tract 110.01, Pittsylvania County, Virginia",511430110012,38,42,9,11,17,0,630,51,143,11001,2
"Block Group 1, Census Tract 110.02, Pittsylvania County, Virginia",511430110021,66,275,35,8,171,28,750,51,143,11002,1
"Block Group 1, Census Tract 111, Pittsylvania County, Virginia",511430111001,64,148,43,80,94,226,609,51,143,11100,1
"Block Group 2, Census Tract 112, Pittsylvania County, Virginia",511430112002,0,30,29,0,0,0,662,51,143,11200,2
"Block Group 2, Census Tract 5002.01, Powhatan County, Virginia",511455002012,83,22,0,0,63,0,2215,51,145,500201,2
"Block Group 2, Census Tract 5002.02, Powhatan County, Virginia",511455002022,0,0,19,0,0,34,1171,51,145,500202,2
"Block Group 1, Census Tract 5004, Powhatan County, Virginia",511455004001,0,166,0,152,46,28,1713,51,145,500400,1
"Block Group 1, Census Tract 9301.01, Prince Edward County, Virginia",511479301011,151,115,0,88,48,0,85,51,147,930101,1
"Block Group 2, Census Tract 9301.02, Prince Edward County, Virginia",511479301022,147,37,14,32,0,0,472,51,147,930102,2
"Block Group 2, Census Tract 9302.02, Prince Edward County, Virginia",511479302022,27,417,0,77,59,0,989,51,147,930202,2
"Block Group 3, Census Tract 9302.04, Prince Edward County, Virginia",511479302043,139,108,0,10,28,0,24,51,147,930204,3
"Block Group 2, Census Tract 9303.01, Prince Edward County, Virginia",511479303012,21,176,11,203,429,10,665,51,147,930301,2
"Block Group 3, Census Tract 9303.02, Prince Edward County, Virginia",511479303023,0,126,11,20,30,0,769,51,147,930302,3
"Block Group 1, Census Tract 8502, Prince George County, Virginia",511498502001,23,3,40,31,76,0,299,51,149,850200,1
"Block Group 4, Census Tract 8502, Prince George County, Virginia",511498502004,10,0,23,100,20,26,826,51,149,850200,4
"Block Group 2, Census Tract 8503.01, Prince George County, Virginia",511498503012,498,208,34,463,0,20,1397,51,149,850301,2
"Block Group 2, Census Tract 608, Richmond city, Virginia",517600608002,11,86,101,0,13,0,216,51,760,60800,2
"Block Group 4, Census Tract 608, Richmond city, Virginia",517600608004,0,10,0,0,0,0,10,51,760,60800,4
"Block Group 2, Census Tract 610.01, Richmond city, Virginia",517600610012,686,151,30,256,75,365,505,51,760,61001,2
"Block Group 4, Census Tract 706.01, Richmond city, Virginia",517600706014,139,0,10,42,71,147,70,51,760,70601,4
"Block Group 1, Census Tract 707, Richmond city, Virginia",517600707001,325,147,643,108,116,24,658,51,760,70700,1
"Block Group 1, Census Tract 708.02, Richmond city, Virginia",517600708021,110,169,75,49,19,98,537,51,760,70802,1
"Block Group 2, Census Tract 708.03, Richmond city, Virginia",517600708032,500,324,256,61,91,249,857,51,760,70803,2
"Block Group 3, Census Tract 708.04, Richmond city, Virginia",517600708043,35,9,0,0,0,0,548,51,760,70804,3
"Block Group 3, Census Tract 709.01, Richmond city, Virginia",517600709013,10,306,260,177,71,125,705,51,760,70901,3
"Block Group 2, Census Tract 709.02, Richmond city, Virginia",517600709022,949,4,14,2,0,0,250,51,760,70902,2
